feature,importance_mean
concave points_mean,-0.016666666666666673
radius_mean,-0.004761904761904789
concavity_mean,-3.3306690738754695e-17
fractal_dimension_mean,0.0
radius_worst,0.0023809523809523504
perimeter_worst,0.0047619047619047224
compactness_worst,0.0071428571428570845
texture_se,0.00952380952380949
symmetry_se,0.00952380952380949
concave points_se,0.011904761904761862
concavity_se,0.011904761904761862
texture_worst,0.014285714285714235
smoothness_mean,0.014285714285714235
texture_mean,0.014285714285714235
fractal_dimension_worst,0.016666666666666607
