feature,coefs
radius_worst,3.2670769549695535
area_worst,3.2627117895321294
texture_worst,2.291113763022819
concavity_mean,2.0987810720605586
concave points_mean,1.9510763266980278
compactness_mean,1.4970712061384646
fractal_dimension_se,1.1132929302057406
smoothness_mean,1.090490373076842
compactness_se,0.9187718606130826
symmetry_mean,0.8198353316230068
fractal_dimension_mean,0.6455870761855129
concavity_se,0.4539507466074419
smoothness_se,0.3912879968375204
texture_se,0.30532088517060757
radius_mean,0.21747738224201288
